Date,AMZN,AAPL,MSFT,NVDA,META,Total,Daily Returns
2017-06-02,65249.51393389502,28437.614343212586,30692.899914456804,143600.0,39161.24920331422,307141.2773948787,0.00507221283821635
2017-06-05,65547.63447828905,28159.531650201243,30915.312232677505,148000.00000000003,39166.34799235181,311788.82635351963,0.015131632576580678
2017-06-06,65003.24044069994,28254.66520307355,31017.964071856284,147200.00000000003,38957.29764181007,310433.16735743993,-0.0043480037817089645
2017-06-07,65456.902138690864,28422.97841200147,30962.360992301117,149200.0,39036.328871892925,313078.5704148864,0.008521650827343796
2017-06-08,65469.86390149061,28357.11672155141,30774.165953806674,160000.0,39441.68260038241,324042.8291772311,0.035020789662528085
2017-06-09,63408.943616331824,27252.103915111602,30076.988879384087,149600.00000000003,38138.9420012747,308476.9784121022,-0.04803639940020199
2017-06-12,62540.5055087492,26600.804976216612,29846.02224123182,150000.0,37843.212237093685,306830.5449632914,-0.005337297639797622
2017-06-13,63564.48476992872,26820.34394438346,30218.13515825493,151600.0,38414.27660930529,310617.2404818724,0.012341325140996062
2017-06-14,63279.325988334414,26556.897182583245,30055.603079555178,151600.0,38304.652644996815,309796.4788954696,-0.002642356828389536
2017-06-15,62488.65845755023,26395.901939260886,29897.34816082122,152400.0,38189.92989165074,309371.8384492831,-0.001370707787578862
2017-06-16,64018.14646791964,26030.0036589828,29940.119760479043,151600.0,38404.07903123008,309992.34891861153,0.002005710902578395
2017-06-19,64497.73169151005,26776.436150750094,30312.232677502143,157200.0,38972.594008922875,317758.9945286852,0.02505431387957513
2017-06-20,64329.22877511342,26527.625320160998,29901.625320786996,157200.0,38814.53154875717,316773.0109648186,-0.003102928889012424
2017-06-21,64951.393389500976,26688.62056348335,30055.603079555178,159600.0,39237.731038878264,320533.3480714178,0.011870762269633017
2017-06-22,64886.58457550227,26644.712769849983,30051.3259195894,158400.0,39107.71191841937,319090.33518336096,-0.004501911881366172
2017-06-23,65055.0874918989,26761.80021953897,30457.65611633875,154000.0,39533.46080305927,315808.0046308359,-0.010286524506105454
2017-06-26,64419.96111471161,26673.984632272237,30166.809238665526,152000.0,39156.150414276606,312416.905399926,-0.010737850786505354
2017-06-27,63305.2495139339,26293.450420783025,29602.2241231822,146400.00000000003,38388.78266411728,303989.70672201645,-0.026974208284669676
2017-06-28,64186.649384316275,26681.30259787779,29854.576561163387,151600.0,39066.92160611855,311389.450149476,0.0243420854845795
2017-06-29,63253.40246273493,26286.132455177463,29294.26860564585,146800.0,38506.05481198215,304139.8583355404,-0.023281430409590298
2017-06-30,62734.93195074531,26351.994145627516,29482.463644140294,144400.0,38490.75844486934,301460.1481853825,-0.008810782528877015
2017-07-03,61801.685029163964,26256.86059275522,29157.399486740804,139200.0,37840.66284257489,294256.60795123485,-0.023895497555842193
2017-07-05,62955.2819183409,26359.31211123308,29546.621043627038,143200.00000000003,38327.59719566603,300388.8122688671,0.02083964863296628
2017-07-06,62553.467271548936,26110.501280643985,29328.485885372113,143600.0,37940.08922880816,299532.5436663732,-0.0028505342659949084
2017-07-07,63434.8671419313,26381.266008049763,29709.153122326778,146800.0,38608.03059273423,304933.3168650421,0.0180306725024324
2017-07-10,64575.502268308504,26542.261251372125,29931.56544054748,153600.0,39133.20586360739,313782.53482383554,0.029020174147484035
2017-07-11,64432.922877511344,26622.758873033305,29935.842600513257,156000.0,39584.44869343531,316575.97304449324,0.008902465595244102
2017-07-12,65236.552171095274,26666.666666666668,30431.993156544057,162400.0,40509.878903760364,325245.09089806635,0.02738400444671374
2017-07-13,64847.69928710305,27032.56494694475,30697.177074422587,160800.0,40601.657106437226,323979.0984149076,-0.0038924261075335975
2017-07-14,64925.46986390151,27266.739846322725,31129.17023096664,164800.0,40782.66411727214,328904.044058463,0.01520143017759823
2017-07-17,65456.902138690864,27361.873399195025,31372.968349016257,164400.0,40721.4786488209,329313.222535723,0.001244066421959955
2017-07-18,66390.1490602722,27457.00695206733,31351.58254918734,166000.0,41519.439133205866,332718.17769473273,0.01033956405634573
2017-07-19,66545.69021386911,27632.638126600807,31591.103507271175,165200.0,41845.76163161249,332815.1934793536,0.0002915854651917016
2017-07-20,66675.3078418665,27508.232711306264,31745.081266039353,167600.00000000003,41945.188017845765,335473.80983705795,0.007988266190345206
2017-07-21,66467.91963707065,27493.596780095137,31561.1633875107,168000.00000000003,41919.694072657745,335442.37387733423,-9.370615172310526e-05
2017-07-24,67336.35774465329,27822.905232345413,31479.897348160823,166000.0,42319.949012109624,334959.10933726915,-0.0014406782735260082
2017-07-25,67388.20479585223,27947.310647639955,31732.249786142,165200.0,42136.39260675589,334404.1578363901,-0.0016567738730171033
2017-07-26,68230.7193778354,28079.034028540067,31672.36954662105,167200.0,42220.52262587636,337402.6455788729,0.008966658075913791
2017-07-27,67790.0194426442,27544.82253933407,31291.70230966638,161600.0,43451.88017845762,331678.4244701023,-0.016965548977690093
2017-07-28,66104.9902786779,27354.555433589467,31240.376390076995,164400.0,43964.30847673677,333064.2305790811,0.004178161757711019
2017-07-31,64018.14646791964,27208.196121478235,31094.952951240386,162400.0,43148.5022307202,327869.79777135846,-0.01559588911331422
2017-08-01,64562.54050550876,27449.688986461762,31043.627031650984,164400.0,43304.01529636711,330759.8718199886,0.00881470043375443
2017-08-02,64536.61697990927,28744.968898646177,30906.757912745943,164400.0,43161.24920331421,331749.59299461555,0.0029922649600178097
2017-08-03,63966.29941672067,28459.568240029275,30859.709153122334,166400.00000000003,42980.24219247929,332665.8190023516,0.002761799945149912
2017-08-04,64005.18470511991,28613.245517746072,31086.39863130882,167200.0,43242.82982791588,334147.6586820907,0.004454439245315411
2017-08-07,64303.305249513935,29052.32345407977,30966.6381522669,172400.0,43844.486934353095,340566.75379021367,0.019210354887538195
2017-08-08,64147.76409591706,29286.498353457748,31133.447390932422,170400.0,43653.28234544295,338620.9921857502,-0.00571330461006192
2017-08-09,63642.255346727165,29469.447493596785,30996.578272027375,172000.0,43640.53537284896,339748.8164852003,0.0033306390491922855
2017-08-10,62022.03499675957,28415.6604463959,30543.19931565441,164800.0,42676.86424474188,328457.7590035518,-0.03323354470652107
2017-08-11,62734.93195074531,28810.830589096233,31009.409751924723,156000.0,42850.2230720204,321405.39536378667,-0.021471143385864977
2017-08-14,63720.0259235256,29242.590559824373,31475.62018819504,168400.00000000003,43530.911408540465,336369.1480800855,0.04655725427185797
2017-08-15,63694.10239792612,29564.58104646908,31317.36526946108,166800.00000000003,43594.646271510515,334970.69498536683,-0.004157495129088695
2017-08-16,63395.98185353208,29447.4935967801,31501.283147989743,165200.0,43339.70681963034,332884.46541793225,-0.0062280957667826264
2017-08-17,62255.346727154894,28884.010245151854,30966.6381522669,161600.0,42551.94391332059,326257.93903789425,-0.019906385152934303
2017-08-18,62112.767336357756,28818.148554701795,31005.13259195894,161600.0,42679.413639260674,326215.4621222792,-0.00013019427432259256
2017-08-21,61775.761503564485,28759.604829857304,30859.709153122334,159200.0,42773.74123645634,323368.81672300043,-0.008726273674335316
2017-08-22,62657.16137394687,29235.272594218815,31291.70230966638,162400.0,43247.92861695347,328832.0648947856,0.016894789754773987
2017-08-23,62086.84381075826,29264.544456641055,31103.507271171948,165600.0,43010.834926704905,331065.73046527617,0.006792724338501754
2017-08-24,61723.91445236553,29140.13904134651,31090.675791274596,165200.0,42763.54365838113,329918.2729433678,-0.0034659507654137833
2017-08-25,61257.29099157487,29249.908525429935,31146.27887082977,164000.0,42401.52963671128,328055.00802454585,-0.005647656015530078
2017-08-28,61309.13804277381,29542.627149652402,31150.55603079555,164800.0,42636.073932441046,329438.39515566285,0.004216936481010736
2017-08-29,61827.60855476346,29806.07391145262,31244.653550042778,164800.0,42842.57488846399,330520.91090472287,0.0032859428803024837
2017-08-30,62709.00842514583,29886.571533113798,31655.26090675792,165600.0,43319.31166347992,333170.1525284975,0.008015352543120358
2017-08-31,63551.523007128984,30003.658982802783,31980.3250641574,169600.00000000003,43841.93753983429,338977.4445939235,0.017430409120844814
2017-09-01,63395.98185353208,30010.976948408348,31625.320786997436,170400.0,43854.684512428306,339286.9641013662,0.0009130976481737108
2017-09-05,62553.467271548936,29652.39663373583,31484.174508126605,166000.0,43523.26322498407,333213.3016383954,-0.01790125500122719
2017-09-06,62721.97018794556,29623.124771313574,31394.35414884517,166000.0,43872.53027405991,333611.97938216425,0.001196464072138026
2017-09-07,63473.75243033053,29498.71935601903,31796.40718562875,166400.00000000003,44158.06246016571,335326.941432144,0.005140588935552692
2017-09-08,62605.314322747894,29023.051591657517,31642.42942686057,163600.0,43581.899298916505,330452.6946401825,-0.014535804284452003
2017-09-11,63383.020090732345,29549.945115257964,31976.047904191622,168800.0,44234.544295729764,337943.5574059117,0.022668487463495257
2017-09-12,63681.14063512639,29432.857665568972,31941.83062446536,169600.00000000003,44094.32759719567,338750.15652235644,0.0023867864877682443
2017-09-13,64782.89047310435,29206.00073179656,32168.520102651837,170400.0,44117.27214786488,340674.6834554176,0.005681257693925579
2017-09-14,64303.305249513935,28957.18990120747,31980.3250641574,169600.00000000003,43584.44869343531,338425.2689083141,-0.0066028227407095574
2017-09-15,63953.33765392094,29249.908525429935,32211.291702309674,180000.0,43757.80752071383,349172.3454023744,0.03175612899334612
2017-09-18,63136.746597537276,29030.369557263086,32147.134302822928,187600.00000000003,43342.256214149136,355256.50667177245,0.017424522157924338
2017-09-19,62851.58781594298,29037.687522868644,32266.89478186484,187200.0,43982.15423836839,355338.32435904484,0.00023030595002726528
2017-09-20,63071.93778353857,28554.70179290158,32053.03678357571,186000.00000000003,43892.92543021032,353572.6017902262,-0.004969130678498135
2017-09-21,62514.58198314971,28064.398097328947,31740.804106073567,180799.99999999997,43622.689611217334,346742.4737977695,-0.01931746961691605
2017-09-22,61905.37913156189,27786.315404317604,31826.347305389223,178800.0,43477.37412364563,343795.41596491437,-0.008499269791141795
2017-09-25,60907.32339598186,27544.82253933407,31334.473909324217,171200.00000000003,41521.988527724665,332508.6083723648,-0.03283001188620116
2017-09-26,60829.55281918342,28013.172338090015,31334.473909324217,172000.0,41863.60739324411,334040.8064598417,0.00460799524853539
2017-09-27,61620.2203499676,28218.075375045744,31586.826347305392,175600.0,42748.24729126833,339773.36936358706,0.017161265309166618
2017-09-28,61983.14970836034,28042.444200512262,31595.38066723696,175600.0,43015.93371574251,340236.90829185204,0.0013642591505427237
2017-09-29,62307.19377835387,28196.12147822906,31860.56458511548,178800.0,43561.50414276609,344725.38398446445,0.01319220691002232
2017-10-02,62164.614387556714,28137.57775338456,31911.890504704883,178800.0,43204.58891013385,344218.67155578005,-0.0014699017021247984
2017-10-03,62022.03499675957,28261.98316867911,31762.189905902487,179200.00000000003,43329.50924155513,344575.71731289633,0.0010372643514733326
2017-10-04,62566.42903434868,28079.034028540067,31946.107784431144,180799.99999999997,42936.90248565965,346328.4733329795,0.005086707890363362
2017-10-05,63564.48476992872,28430.29637760703,32493.584260051328,180799.99999999997,43655.83173996176,348944.1971475488,0.007552725276660732
2017-10-06,64134.8023331173,28415.6604463959,32506.41573994868,181200.00000000003,43908.22179732314,350165.1003167851,0.0034988493266734366
2017-10-09,64225.53467271549,28510.793999268208,32630.45337895638,185200.0,43977.055449330786,354543.83750027086,0.012504778972902919
2017-10-10,63979.26117952042,28525.429930479324,32630.45337895638,188800.0,43745.06054811982,357680.20503707597,0.00884620519402679
2017-10-11,64484.76992871031,28642.517380168316,32686.056458511554,190800.0,44038.24091778204,360651.5846851722,0.008307363969969339
